Category,Title,Price,Link
Refrigerators,"Croma 1600 Watts 210ml Steam Iron (2025 Model, 360 Degree Swivel Cord, Brown)",₹899,https://www.croma.com/croma-1600-watts-210ml-steam-iron-2025-model-360-degree-swivel-cord-brown-/p/315858
Refrigerators,"Croma 6.5 kg 5 Star Semi Automatic Washing Machine with Built-in Soak Function (2025 Model, Burgundy)","₹7,290",https://www.croma.com/croma-6-5-kg-5-star-semi-automatic-washing-machine-with-built-in-soak-function-2025-model-burgundy-/p/307023
Refrigerators,"V-Guard 12 Amps Voltage Stabilizer For 1.5T Air Conditioner (170 - 270 V, Smart Digital Display, VG 400, Grey)","₹2,189",https://www.croma.com/v-guard-12-amps-voltage-stabilizer-for-1-5t-air-conditioner-170-270-v-smart-digital-display-vg-400-grey-/p/208969
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 256GB ROM, Platinum)","₹1,13,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-256gb-rom-platinum-/p/308518
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 32GB RAM, 1TB ROM, Platinum)","₹2,32,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-32gb-ram-1tb-rom-platinum-/p/308528
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Black)","₹1,61,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-black-/p/308526
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Platinum)","₹1,31,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-platinum-/p/308522
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Platinum)","₹1,61,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-platinum-/p/308525
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 256GB ROM, Platinum)","₹1,15,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-256gb-rom-platinum-/p/315533
Air Conditioners,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 1TB ROM, Black)","₹1,80,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-1tb-rom-black-/p/308527
Air Conditioners,"HP 15-fd1299TU Intel Core 3 100U Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office 2024, Natural Silver, 1.65 KG)","₹40,990",https://www.croma.com/hp-15-fd1299tu-intel-core-3-100u-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-2024-natural-silver-1-65-kg-/p/319934
Air Conditioners,"Apple MacBook Air (13.6 inch, M4, 16GB, 256GB, macOS, Midnight)","₹99,900",https://www.croma.com/apple-macbook-air-13-6-inch-m4-16gb-256gb-macos-midnight-/p/314075
Air Conditioners,"Acer Aspire Go 14 Intel Core Ultra 5 Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch WUXGA IPS Display, MS Office, Steel Gray, 1.5 KG)","₹54,990",https://www.croma.com/acer-aspire-go-14-intel-core-ultra-5-thin-light-laptop-16gb-512gb-ssd-windows-11-home-14-inch-wuxga-ips-display-ms-office-steel-gray-1-5-kg-/p/317038
Air Conditioners,"Apple iPad Wi-Fi (11 Inch, 128GB, Blue)","₹34,490",https://www.croma.com/apple-ipad-wi-fi-11-inch-128gb-blue-/p/314071
Air Conditioners,"Apple iPad Wi-Fi (11 Inch, 128GB, Silver)","₹34,490",https://www.croma.com/apple-ipad-wi-fi-11-inch-128gb-silver-/p/314069
Air Conditioners,"DELL DC15255 AMD Ryzen 5 Thin & Light Laptop (16GB, 512GB SSD, Windows 11, 15.6 inch Full HD Display, MS Office Home 2024, Carbon Platinum Silver, 1.66 KG)","₹46,990",https://www.croma.com/dell-dc15255-amd-ryzen-5-thin-light-laptop-16gb-512gb-ssd-windows-11-15-6-inch-full-hd-display-ms-office-home-2024-carbon-platinum-silver-1-66-kg-/p/317372
Air Conditioners,"Apple MacBook Air (13.6 inch, M4, 16GB, 256GB, macOS, Sky Blue)","₹99,900",https://www.croma.com/apple-macbook-air-13-6-inch-m4-16gb-256gb-macos-sky-blue-/p/314064
Air Conditioners,"Lenovo IdeaPad Flex 5 14ABR8 AMD Ryzen 7 Touchscreen 2-in-1 Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch WUXGA IPS Display, MS Office Home 2024, 1.55 KG)","₹64,990",https://www.croma.com/lenovo-ideapad-flex-5-14abr8-amd-ryzen-7-touchscreen-2-in-1-laptop-16gb-512gb-ssd-windows-11-home-14-inch-wuxga-ips-display-ms-office-home-2024-1-55-kg-/p/315874
Air Conditioners,"DELL 15 Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office Home 2024, Platinum Silver, 1.90 KG)","₹59,490",https://www.croma.com/dell-15-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-home-2024-platinum-silver-1-90-kg-/p/318514
Air Conditioners,"Apple MacBook Air (13.6 inch, M4, 24GB, 512GB, macOS, Midnight)","₹1,39,900",https://www.croma.com/apple-macbook-air-13-6-inch-m4-24gb-512gb-macos-midnight-/p/314148
Air Conditioners,"DELL DC 15250 Intel Core i5 Laptop (16GB, 1TB SSD, Windows 11, 15.6 inch Full HD IPS Display, MS Office Home 2024, Platinum Silver, 1.66 KG)","₹64,490",https://www.croma.com/dell-dc-15250-intel-core-i5-laptop-16gb-1tb-ssd-windows-11-15-6-inch-full-hd-ips-display-ms-office-home-2024-platinum-silver-1-66-kg-/p/318515
Air Conditioners,"ASUS Vivobook 16 X1605VA-MB1627WS Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 16 inch WUXGA IPS Display, MS Office 2024, Cool Silver, 1.88 KG)","₹58,990",https://www.croma.com/asus-vivobook-16-x1605va-mb1627ws-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-16-inch-wuxga-ips-display-ms-office-2024-cool-silver-1-88-kg-/p/315070
Air Conditioners,"ASUS Vivobook 15 M1502YA-BQ712WS AMD Ryzen 7 5825U Laptop (16GB, 1TB SSD, Windows 11 Home, 15.6 inch Full HD IPS Display, MS Office Home 2024, Cool Silver, 1.7 KG)","₹52,990",https://www.croma.com/asus-vivobook-15-m1502ya-bq712ws-amd-ryzen-7-5825u-laptop-16gb-1tb-ssd-windows-11-home-15-6-inch-full-hd-ips-display-ms-office-home-2024-cool-silver-1-7-kg-/p/317201
Air Conditioners,"Apple MacBook Pro (16.2 inch, M3 Pro, 36GB, 512GB, macOS, Space Black)","₹2,39,994",https://www.croma.com/apple-macbook-pro-16-2-inch-m3-pro-36gb-512gb-macos-space-black-/p/302731
Washing Machines,N/A,N/A,N/A
